ms,current,servoWrite,wanted
4,88,0,88
45,88,0,87
79,88,0,87
113,88,0,86
147,88,0,86
181,88,0,85
215,88,0,85
249,88,0,85
283,88,0,84
323,87,67,84
363,87,65,83
403,86,62,83
443,86,61,82
483,85,58,82
523,84,57,81
563,84,55,80
603,83,53,80
643,82,52,79
683,80,51,79
723,79,53,78
763,78,54,78
803,75,53,77
843,72,60,77
883,70,65,76
923,68,71,76
963,67,75,75
1003,67,79,75
1044,66,79,74
1085,66,84,74
1126,66,84,73
1167,66,85,72
1208,66,87,72
1249,66,87,71
1290,66,88,71
1331,66,88,70
1372,66,88,70
1413,66,88,69
1454,66,88,69
1495,66,87,68
1536,66,86,68
1577,66,85,67
1618,66,83,66
1659,66,82,66
1700,66,80,65
1741,66,79,65
1782,66,76,64
1823,66,74,64
1864,66,71,63
1905,66,69,63
1946,66,65,62
1987,66,63,62
2028,65,60,61
2069,65,58,60
2110,64,55,60
2151,64,54,59
2192,64,50,59
2233,63,46,58
2274,63,45,58
2315,63,41,57
2356,63,38,57
2397,63,33,56
2438,63,28,55
2479,62,24,55
2520,62,21,54
2561,62,17,54
2602,62,11,53
2643,62,7,53
2684,61,1,52
2725,61,0,52
2766,61,0,51
2807,61,0,51
2848,61,0,50
2889,60,0,49
2930,60,0,49
2971,60,0,48
3012,60,0,48
3053,60,0,47
3094,59,0,47
3135,59,0,46
3176,59,0,46
3217,58,0,45
3258,58,0,45
3299,58,0,44
3340,57,0,43
3381,56,0,43
3422,56,0,42
3463,55,0,42
3504,54,0,41
3545,53,0,41
3586,52,0,40
3627,51,0,40
3668,50,0,39
3709,48,0,39
3750,47,0,38
3791,46,0,37
3832,44,0,37
3873,43,0,36
3914,42,0,36
3955,41,0,35
3996,40,0,35
4037,40,0,34
4078,39,0,34
4119,38,0,34
4160,38,0,34
4201,38,0,34
4242,37,0,34
4283,37,0,34
4324,37,0,34
4365,36,0,34
